name,population
Slovenia,1964036
Saint Vincent and the Grenadines,109991
Taiwan,23508362
Cape Verde,525000
El Salvador,6377195
Grenada,109590
Portugal,10562178
Ireland,6378000
The Gambia,1882450
Turkey,79463663
Zambia,13092666
Algeria,37900000
Andorra,2014
Angola,25789024
Antigua and Barbuda,81799
Armenia,3018854
Germany,82175700
Egypt,72798000
Costa Rica,4586353
Bahrain,1234571
Barbados,277821
South Sudan,8260490
Azerbaijan,9754830
The Bahamas,2010
Bolivia,11410651
Bosnia and Herzegovina,3531159
Brazil,206440850
Brunei,415717
Bulgaria,7202198
Benin,10008749
Bhutan,634982
Cameroon,17463836
Chile,16341929
China,1339724852
Colombia,42888592
Comoros,798000
Burundi,8053574
Cambodia,13395682
Central African Republic,4987640
Czech Republic,10436560
Denmark,5707251
Djibouti,828324
Dominica,72324
Dominican Republic,9478612
East Timor,1167242
Ecuador,14483499
Cuba,11239004
Cyprus,838897
Estonia,1294455
Ethiopia,73750932
Fiji,909389
Finland,5488543
France,66736000
Gabon,1475000
Equatorial Guinea,1222442
Eritrea,6380803
Greece,10815197
Guatemala,15806675
Guinea,11628972
Guinea-Bissau,1693398
Guyana,747884
Haiti,10604000
Honduras,7529403
Hungary,9855571
Saint Lucia,174000
Ghana,24200000
Indonesia,237424363
Iran,79200000
Iraq,37056169
Israel,7412200
Italy,59433744
Jamaica,2950210
India,1210854977
Japan,127110047
Kiribati,103500
Kosovo,1739825
Kyrgyzstan,5362800
Laos,5621000
Latvia,2070371
Lebanon,6184701
Liberia,3476608
Kazakhstan,17693500
Kuwait,2213403
Liechtenstein,37340
Lithuania,2859709
Luxembourg,439539
Madagascar,12238914
Malawi,9933868
Malaysia,28334135
Maldives,341356
Libya,5658000
Marshall Islands,53158
Mauritania,3537368
Mauritius,1236817
Mexico,119530753
Monaco,35352
Moldova,2913281
Mongolia,3081677
Malta,416055
Myanmar,51486253
Namibia,2113077
Nauru,10084
Nepal,26494504
Netherlands,17000059
New Zealand,4242048
Nicaragua,6167237
Morocco,33848242
Norway,5214890
Oman,2773479
Pakistan,201995540
Palau,20918
Panama,3405813
Papua New Guinea,5190783
Paraguay,6783272
Peru,28220764
Nigeria,140431790
Russia,144192450
Saint Kitts and Nevis,46325
Samoa,179186
San Marino,33020
Sao Tome and Principe,192993
Qatar,1699435
Romania,20121641
Serbia,7041599
Seychelles,2014
Sierra Leone,7075641
Singapore,5610000
Slovakia,5397036
Solomon Islands,523000
Somalia,12316895
Senegal,13508715
Sri Lanka,20277597
Sudan,30894000
Suriname,541638
Swaziland,1018449
Sweden,9658301
Switzerland,8139600
Syria,17064854
Spain,46423064
Thailand,64785909
Tonga,103036
Trinidad and Tobago,1328019
South Korea,50801405
North Korea,24052231
Republic of the Congo,4662446
Tanzania,44928923
Togo,5337000
Belize,324528
Tunisia,10982754
Turkmenistan,5171943
Tuvalu,2012
Ukraine,48457102
United Arab Emirates,4106427
United Kingdom,63181775
United States,309349689
Chad,11039873
Vanuatu,243304
Vietnam,91700000
Zimbabwe,13061239
Afghanistan,32564342
Albania,2821977
Uzbekistan,31576400
Vatican City,1000
Austria,8725931
Bangladesh,149772364
Mozambique,21397000
Burkina Faso,14017262
Canada,33476688
Jordan,9531712
Australia,21507717
Croatia,4284889
Lesotho,2031348
Montenegro,620029
Niger,17138707
Philippines,100981437
Saudi Arabia,30770375
South Africa,51770560
Belarus,87
Rwanda,10515973
Democratic Republic of the Congo,81680000
Ivory Coast,22671331
Uruguay,3286314
Venezuela,31416000
Argentina,40117096
Yemen,19685000
Belgium,11250585
Kenya,38610097
Mali,14517176
Poland,38511824
Tajikistan,7564500
